ID, TWEET, LABEL
1,"الاوليمبياد الجايه هكون لسه ف الكليه ..",none
2,"عجز الموازنه وصل ل93.7 % من الناتج المحلي يعني لسه اقل من 7 % و نفلس و بهايم لسه يتابعوا الاوليمبياد",anger
3,"كتنا نيله ف حظنا الهباب xD",sadness
4,"جميعنا نريد تحقيق اهدافنا لكن تونس تالقت في حراسه المرمي...",joy
5,"الاوليمبياد نظامها مختلف .. ومواعيد المونديال مكانتش مقرفه ولا حاجه كانت معقوله",none
6,"دلوقتي عندها اربع سنين .... ومحدش يقدر يكلمها ... سبحان الله",surprise
7,"الحب يسلبها كيدها يرجعها الي براءتها الاولي ويدفعها الي الذهاب بعيداً حيث لا تعرف وحيث تخاف فهي لا تقاومك احياناً بل تقاوم نفسها ان تحب",love
8,"she3er: شوفي بـ عيني امنيات الغلابه واحلام ثلثين الشعوب .! .  سنابي she3er1 .",sympathy
9,"86:   صوتك هو حبيبي الثالث   بعدك وبعد عيونك ~  بوح  غزل",love
10,"عمر عسر اتغلب وخرج وبيكمل مسيره مصر الفاشله في الاوليمبياد",sadness
11,"iu ايه ناويه بس خايفه الصراحه مدري وش فيني",fear
12,"عالماشي | غدا.. لقاء نادر للنجمه ناديه لطفي علي شاشه ماسبيرو زمان   اتحاد ال...    ترفيه  فن  موسيقي",joy
13,"يا ويل  قلبي منه ي كثر ما اغليه ويا كثر ماله في خفوقي محبه .. ❤  مساء  الخير  ي",love
14,"عاجبني فشخ العرب الي داخلين تحت علم الاوليمبياد دول و خصوصاً الديحاني اللي خد الدهب رمايه قاعدين يطبلوله في حين انها متحسبتش لعربي ولا حاجه",joy
15,": لا قيمه لزحام الاشخاص مِن حوْلك، يكفيك قلب صادق، تشعر بـ  الحُب في اقواله وافعاله، يمشي معك الطريق حتي نهايته.! •  كتابات يوسف…",love
16,"20 سنه وهيلعب الاوليمبياد مع نيجيريا مش زي ايفونا بس كويس",none
17,"اغار بجنون ولسعات غيرتي تخدش تفاصيل اللقاء ولاهدوء اعدك حين اراك ان اجمع اشباهك الاربعين في سجون ابديه حتي لا…",love
18,"كُـنت نفسـك .. تبـني دُنـيااا .. طعـم تااني و حـاجه تـانيه",sadness
19,"المفروض يلغوها من الاوليمبياد وندخل الاسكواش مكانها احسن 😂",none
20,"25jan   اعوذ بالله مايسوي هذا الرز اللي تحكوا عنه قطره دم لواحد من اخواننا المصريين الله يحميك يامصر ويحفظ اهلك 💔",sympathy
21,"هههه والله انا بعد هالمنظر متعاطف قلبا وقالبا مع الاناث!",sympathy
22,"0 ي الله كل ذَا نسيتوا تعبها معكم طول السنين اللي جالسه تسويه من ابسط حقوقها والله لو شي ثاني تدفعون وم تفكرون بالمبلغ",sympathy
23,". كل ما دعيت الله عطف و توافيق اسمه يخاشر دعوتي بالدقيقه .",sympathy
24,"علي المواطن ان يخبط راسه في الحيط احتجاجاً ، واذا قبضوا عليه يقول انه بيشوف الحيطه جامده ولا لا  جلال عامر",anger
25,"بعثه مصر في الاوليمبياد رايحه تتفرج زيها زينا 😂😂",none
26,"ايه بقي اللي بيحصل يخلي كل الاطفال دي من التمانينيات والتسعينيات وكمان مواليد 2000 مايحققوش اي حاجه في اي حته  الاوليمبياد",surprise
27,"واتاري المحاسبه غداره غداره .",sadness
28,": كل التوفيق للجهاز الاداري بقياده عبدالعزيز المطوع وحسين عاشور الله يوفقهم يارب 💚💚💚",sympathy
29,"يا ساتر.. هما بيهمدوش ابدا .. جماعه الشيطان دي !!",surprise
30,"ما اجمل ان تزوريني في الحلم لتطمئني قلبي الحزين ... ان غدا يوم جميل ❤",love
31,":  دعاء اللهم اشف عبدك لؤي صالح مقبل الذي تعرض لجلطه الزمته الفراش وهو ولله الحمد في تحسن مستمر ويطلب دعواتكم له",sympathy
32,"مصر حاليا في مركز 61 من بين 67 مركز في الاوليمبياد يا بلاش والله",none
33,"حاليًا انا مصدومه عاطفيا ونفسيا وجسديا ولا هيش ماهذا",surprise
34,"الدعاء لاهلنا ب  حلب فهم بحاجه له فهم يتعرضون لقصف شرس نسال الله ان يحفظهم فهناك العشرات من الشهداء والجرحي اسال الله ان يتقبلهم ويشافيهم",sympathy
35,"مش عارف البرازيل ازاي فازت بتنظيم الاوليمبياد.",surprise
36,"امبارح كنت بقول لو افترقنا طول حياتي دي نهايتها .. وانهارده بقيت بقول موش عايز حد قدامي يجيب سيرتها ..",sadness
37,"Minawya9 خلاص مهو دخل .. افكسو مالهاشتاج ده ونكتب هاشتاج ترحيب بيه فتويتر",joy
38,"ايران تمول قناه الحره وبعدين معاك ي ايران تري مابغي امحيك من الارض خلينا حبايب وبلاش مشاكل",anger
39,"ده فيديو حياتي",joy
40,"بيل و كروس لازم يلعبوا غصبا عنهم في السوبر",joy
41,"ياربي خايفه من الاختبار مره.",fear
42,"ان يقع في حُب العقول قبل الوجوه..!",love
43,"كل اما افتح اي قناه بتذيع الاوليمبياد الاقي امريكا و الصين بيتنافسو ع الذهب .. في كل الالعاب الفرديه تقريبا ... مفيش غيركو ولا ايه 😂😂",surprise
44,"باقيلي 12 دقيقه في اول حلقه من بلاك ميرور و خايفه اكملها من الي حيصير سند هيلب",fear
45,"علاء ابو القاسم انصاب قبل الاوليمبياد و للاسف خسر انهارده لكن هو برضه بطل و مش هنتحبط لا 😞",sadness
46,"شكلها كده مفيهاش نوم وهنقعد نتابع الاوليمبياد للصبح.او غالبا احنا بقينا الصبح",none
47,"خايفه اصف جنبك",fear
